date,open,high,low,close,volume,p_change,v_change
2012-06-15,1329.189941,1343.319946,1329.189941,1342.839966,4401570000,0.010337815,0.193574892
2012-06-18,1342.420044,1348.219971,1334.459961,1344.780029,3259430000,0.001444746,-0.259484684
2012-06-19,1344.829956,1363.459961,1344.829956,1357.97998,3815350000,0.009815695,0.170557429
2012-06-20,1358.040039,1361.569946,1346.449951,1355.689941,3695700000,-0.001686357,-0.031360164
2012-06-21,1355.430054,1358.27002,1324.410034,1325.51001,4094470000,-0.022261677,0.107901074
2012-06-22,1325.920044,1337.819946,1325.920044,1335.02002,5271490000,0.007174604,0.287465777
2012-06-25,1334.900024,1334.900024,1309.27002,1313.719971,3501820000,-0.015954854,-0.335705844
2012-06-26,1314.089966,1324.23999,1310.300049,1319.98999,3412940000,0.004772721,-0.025381088
2012-06-27,1320.709961,1334.400024,1320.709961,1331.849976,3286910000,0.008984906,-0.036927107
2012-06-28,1331.52002,1331.52002,1313.290039,1329.040039,3969370000,-0.0021098,0.207629658
2012-06-29,1330.119995,1362.170044,1330.119995,1362.160034,4590480000,0.024920239,0.156475713
2012-07-02,1362.329956,1366.349976,1355.699951,1365.51001,3301650000,0.002459312,-0.280761489
2012-07-03,1365.75,1374.810059,1363.530029,1374.02002,2116390000,0.006232111,-0.358990202
2012-07-05,1373.719971,1373.849976,1363.02002,1367.579956,3041520000,-0.004687023,0.437126428
2012-07-06,1367.089966,1367.089966,1348.030029,1354.680054,2745140000,-0.009432649,-0.097444699
2012-07-09,1354.660034,1354.869995,1346.650024,1352.459961,2904860000,-0.001638832,0.058182825
2012-07-10,1352.959961,1361.540039,1336.27002,1341.469971,3470600000,-0.008125926,0.194756374
2012-07-11,1341.400024,1345,1333.25,1341.449951,3426290000,-1.49E-05,-0.012767245
2012-07-12,1341.290039,1341.290039,1325.410034,1334.76001,3654440000,-0.004987097,0.066588059
2012-07-13,1334.810059,1357.699951,1334.810059,1356.780029,3212930000,0.016497362,-0.12081468
2012-07-16,1356.5,1357.26001,1348.51001,1353.640015,2862720000,-0.002314313,-0.109000196
2012-07-17,1353.680054,1365.359985,1345.069946,1363.670044,3566680000,0.007409672,0.245905992
2012-07-18,1363.579956,1375.26001,1358.959961,1372.780029,3642630000,0.006680491,0.021294313
